Ticket Number;Subject;Status;Centros de cultivo Multi X;Centro de cultivo Aquachile;Centro de Cultivo Salmones Aysen;Department;Type;Priority;Owner;Organizations;Assigned Agent;Source;Creator;Resolved In(in minutes);First Replied At;Created At;Updated At;Closed At;Description;Categoría de Problema;Centros de cultivo Caleta Bay;Dispositivo;Radares;Dispositivo;Dispositivo;PC;Grabación de Cámaras;Proveedor de internet;C.M FALLA;Ticket Link
ORCA-AAAA-1261;metricas de energia.;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;1554;;julio 06, 2024 7:35 PM;julio 09, 2024 1:54 AM;julio 09, 2024 1:54 AM;Buen día, tenemos problemas con las métricas de energía.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1263;Re: Monitor de estadisticas;Cerrado;;;;Soporte;;Alta;fdelrio@orcatecnologia.cl;Orca Tecnologia;Raul  Dodero;Email;fdelrio@orcatecnologia.cl;453;julio 08, 2024 6:30 PM;julio 08, 2024 6:20 PM;julio 09, 2024 1:52 AM;julio 09, 2024 1:52 AM;"Don Hernán, buenos días. Personal de soporte verificará y le estaremos informando a la brevedad. Saludos El lun, 8 de jul de 2024, 08:43, Supervisor Monitoreo &lt;supervisor.monitoreo@cermaq.com&gt; escribió:Buenos días Francisco, te comento que debido a cortes de energía eléctrica y desconexión de internet de las cámaras y radar del acopio Santa Cruz, el monitor con información de estadísticas de eventos a perdido visualización con la central de monitoreo. Saluda AtentamenteHernán Vásquez S. CCTV y Radares.Phone +56 65 2563200Direct +56 65 2393438Mobile +56 9 44025580Cermaq Chile S.A.Camino Chinquihue Km 12Puerto Montt, Los Lagos, Chile ";Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1246;Jesus 1;Cerrado;;;;Soporte;Problema;Alta;central monitoreo aquachile;Aquachile;;Web;central monitoreo aquachile;15995;;junio 20, 2024 9:24 PM;julio 07, 2024 3:52 PM;julio 07, 2024 3:52 PM;Buenas tardes, al momento de realizar una prueba de alarma al centro esta no funciona. Nuestro panel de alarmas no interactúan al mando del click.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1260;Re: camara laser centro milagro.;Cerrado;;;milagro;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;33;;julio 04, 2024 11:55 PM;julio 05, 2024 12:28 AM;julio 05, 2024 12:28 AM;"Buenas tardes:Estimados, favor revisar nuevamente, personal de soporte me comenta que la cámara se encuentra trabajando con normalidad. Saludos cordiales El jue, 4 de jul de 2024, 1:47 p. m., Central Seguridad SAY &lt;centralseguridadsay@salmonesaysen.cl&gt; escribió:      Buenas tardes, hace unos momentos al estar revisando los modulos con la cámara laser, quedó pegada enfocando un solo punto y al reiniciar el sistémico no a vuelto la visibilidad de la cámara, por favor revisara.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.";Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1252;Estado de Camaras Centros Say.;Cerrado;;;milagro,choen,Teupa,lamahue;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;8334;junio 22, 2024 10:30 PM;junio 22, 2024 8:05 PM;julio 01, 2024 6:53 PM;julio 01, 2024 6:53 PM;Buenos días estimado a continuación se darán a conocer algunas novedades que tenemos con camaras. Centro Lin Lin.Cámara de bodega de encuentra desenfocada. Centro Teupa.Cámara de acceso N°2 se encuentra con humedad en su interior. Centro Milagro.Cámara de acceso N°2 se encuentra con humedad en su interior. Centro Lamahue.Cámara de silo N°2 se encuentra con humedad en su interior. Centro Lleuna.Cámara laser se encuentra con problemas al momento de operarla comenzó a girar en 360 ° sin parar Centro Choen.Cámara de silo  se encuentra con humedad en su interior.En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1258;Camara laser de Centro Milagro.;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;1133;;junio 29, 2024 6:45 PM;julio 01, 2024 6:53 PM;julio 01, 2024 6:53 PM;Buenos días estimado, se informa que Cámara laser de Centro Milagro no esta realizando sus preset  correspondientes, solo se encuentra fijo en un lugar.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1257;Problemas de conexion;Cerrado;;;;Soporte;;Alta;Operador Vigilancia;Yadran;Raul  Dodero;Email;Operador Vigilancia;76;junio 28, 2024 6:20 PM;junio 28, 2024 6:05 PM;junio 28, 2024 7:20 PM;junio 28, 2024 7:20 PM;Buenos dias.Estimados, junto con saludar, se informa que radar de centro Palvitad esta presentando problemas, no conectando al sistema. Se adjuntan fotos.-SaludosHector Perez VeraOperador de Turno;Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1256;Caida de senal;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;460;;junio 28, 2024 11:40 AM;junio 28, 2024 7:20 PM;junio 28, 2024 7:20 PM; Buenas noches estimados se informa la perdida de visual y sistemas de seguridad de Centros Choen, Lin Lin y Maillen.En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Enlace;;;;;;Startlink;;Click here to view ticket;;
ORCA-AAAA-1251;Barra rapida Orca;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;0;junio 28, 2024 6:55 PM;junio 22, 2024 4:20 PM;junio 28, 2024 6:55 PM;junio 23, 2024 8:14 PM;Estimados buenos días, favor verificar los objetos de la barra rápida, ya que como se aprecia en la fotografía los centros Capera y Punta Porvenir no aparecen las opciones para ser seleccionadas, cabe recalcar que se refrescaron las conexiones en varias oportunidades sin resultados positivos.Saludos.Sebastian Alcazar Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1244;Analitica de camaras Palvitad;Cerrado;;;;Soporte;;Alta;Marcelo Toloza;Yadran;;Email;Marcelo Toloza;6846;;junio 20, 2024 1:05 AM;junio 26, 2024 7:11 PM;junio 26, 2024 7:11 PM;Buenas tardes Alejandro, de acuerdo a lo conversado favor solicito puedan tomar contacto con nosotros para revisar analítica o parametrización de visual de cámaras fijas instaladas en centro Palvitad, la idea es realizar pruebas en algunos sectores de transito de personas.SaludosMarcelo Toloza Marín Supervisor Seguridad de BienesMóvil +56962161686 | www.yadran.clCamino a Quellón Viejo SN | Quellón, Chile;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1255;Problema energia Canalad 2;Cerrado;;canalad 2;;Soporte;;Alta;Danilo  Aguero;;;Email;Danilo  Aguero;1126;;junio 26, 2024 12:25 AM;junio 26, 2024 7:10 PM;junio 26, 2024 7:10 PM;Se llamó al centro y junto a Sergio Vera se soluciona el problema levantando el automático del sistema orca.;Energia;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1254;Metrricas de Energia;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;0;;junio 23, 2024 5:55 PM;junio 23, 2024 8:16 PM;junio 23, 2024 8:16 PM;Buenos días estimado se informa sobre problemas en algunos Centros mostrando error en sus respectivas casillas. En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Central de Monitoreo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1247;Metricas de energia ;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;1485;junio 20, 2024 11:15 PM;junio 20, 2024 11:15 PM;junio 23, 2024 8:14 PM;junio 23, 2024 8:14 PM;Buenas tardes, para informar que métricas de energía se encuentran inoperativas.    En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1248;Camara Laser, Centro Lleuna;Cerrado;;;lleuna;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;1250;junio 21, 2024 3:15 AM;junio 21, 2024 3:10 AM;junio 23, 2024 4:47 AM;junio 23, 2024 4:47 AM;Buenas tardes, para informar que durante una ronda perimetral con la cámara láser, ésta se quedó pegada dando vueltas en el techo, no se puede manipular, la termal esta correcta.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1249;Sin Visual Centro Francisco Sur;Cerrado;;francisco sur;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;500;junio 21, 2024 5:55 PM;junio 21, 2024 3:40 PM;junio 23, 2024 4:47 AM;junio 23, 2024 4:47 AM;Buenos DíasEstimados se informa que estamos sin visual de cámaras y radar en la central, si presentan algún problema técnico o de internet favor de revisar ya que el centro se encuentra fuera de línea.Diego AguilarProtección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Enlace;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1253;Metricas de Energia.;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;0;;junio 22, 2024 9:55 PM;junio 23, 2024 4:45 AM;junio 23, 2024 4:45 AM;Buenas tardes estimado, tenemos algunos Centros que nos maraca error en las métricas de energía.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1245;Perdida de visual de centro Palvitad;Cerrado;;;;Soporte;;Alta;Operador Vigilancia;Yadran;;Email;Operador Vigilancia;2305;;junio 20, 2024 9:35 AM;junio 22, 2024 10:15 PM;junio 22, 2024 10:15 PM;Buenas noches.Estimados, junto con saludar, se informa que se pierde visual de centro de cultivo y radares de centro Palvitad, visual no se restablecio despues del cambio de energia. Se adjunta foto de como se visualizan las pantallas.-SaludosHector Perez VeraOperador de Turno;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1250;Planilla de deteccion de radares;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;455;junio 21, 2024 5:55 PM;junio 21, 2024 4:25 PM;junio 22, 2024 10:14 PM;junio 22, 2024 10:14 PM;Buenos días Estimados su ayuda con la planilla de radares ya que no esta actualizando a la fecha y la hora.Diego AguilarProtección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1242;Mantencion camara Orca ensilaje Choen;Cerrado;;;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;8647;;junio 12, 2024 2:35 AM;junio 20, 2024 2:42 AM;junio 20, 2024 2:42 AM;Buenas tardes:Estimados, junto con saludar les comentamos que la cámara de ensilaje en Choen a contar del pasado Sábado 09-06-24, ha estado presentando cortes de grabación, desde ayer pasó a perderse visual durante algunos lapsos de tiempo y ya esto ha ido en aumento hasta dejar de visualizarse, por lo tanto, vamos a enviar personal de terreno para revisar el cableado, sospechamos que ese puede ser el problema, de todas maneras queremos dejar constancia ahora ya que la visita puede concretarse probablemente próxima semana.Quedamos atentos a cualquier comentario adicional que quieran hacer al respecto.Saludos cordiales. ;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1243;Imagen congelada centro Queullin.;Cerrado;;queullin;;Soporte;;Alta;central monitoreo aquachile;Aquachile;;Email;central monitoreo aquachile;836;;junio 17, 2024 4:25 AM;junio 17, 2024 6:21 PM;junio 17, 2024 6:21 PM;Buenas tardes estimados, favor su ayuda con monitor de centro Queullin, adjunto contacto del centro: 652433893.Saludos cordiales,Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Centro de Cultivo;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1238;Alerta de Audio Centro Valverde 2;Cerrado;;valverde 2;;Soporte;;Alta;central monitoreo aquachile;Aquachile;;Email;central monitoreo aquachile;1190;;junio 08, 2024 1:00 AM;junio 10, 2024 7:50 PM;junio 10, 2024 7:50 PM;Buenos días:Informar que la alerta de Centro Valverde 2 se oye como Guaitecas 2, favor revisar y dejar corregido.SaludosBetsy Yefi N.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Alarmas;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1239;Pruebas de Seguridad;Cerrado;;;;Soporte;;Alta;Operador Vigilancia;Yadran;Danilo  Aguero;Email;Operador Vigilancia;1189;junio 08, 2024 10:55 PM;junio 08, 2024 10:05 PM;junio 10, 2024 7:49 PM;junio 10, 2024 7:49 PM;Buenos Dias  Estimados:En conformidad  a la coordinación efectuada  con el  Centro de  cultivos  Palvitad, se  realizó una prueba de seguridad haciendo  sonar desde  esta central de monitoreo la bocina  de alarma exterior sin tener resultado positivo ( no  funcionó ).En relación a lo anterior se solicita a usted revisar y solucionar el problema antes mencionado ya que esto presenta una irregularidad de seguridad ante una emergencia.  Se adjunta imagen del panel de controlSaludosJose SotoOperador de Turno;Alarmas;;Bocina Exterior;;;;;;Click here to view ticket;;
ORCA-AAAA-1240;Re: camara pegada centro Lleuna;Cerrado;;;lleuna;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;1188;;junio 09, 2024 1:35 AM;junio 10, 2024 7:48 PM;junio 10, 2024 7:48 PM;"Favor revisar, la cámara ya se encuentra operando con normalidad, nos comentan para dar por cerrado el ticket.Saludos cordiales El sáb, 8 de jun de 2024, 3:57 p. m., Raul Dodero &lt;rdodero@orcatecnologia.cl&gt; escribió:Buenas tardes:Estimado, personal de soporte ingresará a revisar la cámara que nos indican, al finalizar les estamos comentando para su revisión. Saludos cordiales El sáb, 8 de jun de 2024, 3:46 p. m., Central Seguridad SAY &lt;centralseguridadsay@salmonesaysen.cl&gt; escribió:Buenas tardes estimados. Para solicitar revisión de cámara Radar Laser de centro Lleuna, ya que esta estática y no se puede manipular. (cámara termal funciona sin problema)  En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.";Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1236;Fwd: Problemas de conexion;Cerrado;;;;Soporte;;Alta;Operador Vigilancia;Yadran;;Email;Operador Vigilancia;360;;junio 07, 2024 6:00 PM;junio 08, 2024 12:54 AM;junio 08, 2024 12:54 AM;"Para su informaciónSaludosJose SotoOperador de Turno---------- Forwarded message ---------De: Operador Vigilancia &lt;operadorvigilancia@yadran.cl&gt;Date: vie, 7 jun 2024 a las 8:27Subject: Problemas  de  conexiónTo: Soporte Orca &lt;soporte@orcatecnologia.cl&gt;Cc: Fabian Melendez &lt;fabian.melendez@yadran.cl&gt;, Jonathan Faúndez Fierro &lt;jfaundez@yadran.cl&gt;, Marcelo Toloza Marin &lt;mtoloza@yadran.cl&gt;, Luis Alberto Hurtado Cruz &lt;lhurtado@yadran.cl&gt;, Marco Mansilla &lt;MMansilla@yadran.cl&gt;, Carolina Soledad Maragaño Lizama &lt;cmaragano@yadran.cl&gt;Buenos diasSe informa que el sistema de monitoreo de orca está teniendo problemas de conexión  se adjunta imagen de referenciaSaludosJose SotoOperador de Turno";Enlace;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1232;Sin visual centro capera en plataforma digifort;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;5456;junio 04, 2024 12:10 AM;junio 02, 2024 4:20 AM;junio 06, 2024 6:55 PM;junio 06, 2024 6:55 PM;Estimados Favor de verificar plataforma digifort ya que no contamos con las cámaras del centro Capera ,se llama al centro en donde no cuentan con imagen tampoco solo tenemos visual del radar.Cabe destacar que la biomasa del centro se encuentra en riesgo por su peso favor dar solución  la brevedad.Diego AguilarProtección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1231;Baliza centro huapi;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;6680;mayo 31, 2024 4:00 AM;mayo 31, 2024 3:35 AM;junio 06, 2024 6:55 PM;junio 06, 2024 6:55 PM;Estimados, se realizo prueba de alarma en centro @Centro Huapijunto a don Sergio Osses, quien nos indica que la baliza externa no estaría operativa, favor su ayuda.Saludos cordiales,Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;Alarmas;;Baliza Exterior;;;;;;Click here to view ticket;;
ORCA-AAAA-1235;Laser Centro Milagro;Cerrado;;;milagro;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;Raul  Dodero;Email;Central Seguridad_Say;993;junio 06, 2024 2:15 AM;junio 06, 2024 2:15 AM;junio 06, 2024 6:47 PM;junio 06, 2024 6:47 PM;Buenas tardes, láser de Centro Milagro se quedó pegado mirando al cielo.Traté de actualizar y cambiar con el Presets, pero nada.   En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1234;Pangal 3 sin conexion Orca;Cerrado;;Pangal 3;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;184;;junio 05, 2024 10:25 PM;junio 06, 2024 1:28 AM;junio 06, 2024 1:28 AM;Buenas tardes:Estimados, junto con saludar, les consultamos si tiene información sobre Pangal 3 ya que personal que efectúa revisión diaria, me indica que el sistema se encuentra sin conexión a internet desde las 10:50 hrs, les dejamos captura de monitoreo de energía del sistema:Quedamos atentos si disponen de información adicional.Saludos cordiales.--  ;Energia;;;;;;;;Click here to view ticket;;
